last_update:2014-06-16 20:00
position	url	type	google_plus_name
1	http://www.xovi.de/xovilichter/	txt	
2	http://www.habbo.cx/xovilichter	txt	
3	http://www.dynapso.de/xovilichter/	txt	Nicolas Sacotte
4	http://ronny-marx.de/xovilichter/	txt	Ronny Marx
5	http://www.search-one.de/xovilichter/	txt	
6	http://www.illerseo.de/xovilichter	txt	Steffen Pahl
7	http://www.xovilichter-smx.de/	txt	
8	http://www.omsag.de/xovilichter/	txt	Blanka Szczebak
9	http://www.google-gamer.de/xovilichter/	txt	Julian Raab
10	http://www.reknova.de/xovilichter	txt	Daniel Bruckhaus
11.1	http://ronny-marx.de/xovilichter/	img	
11.2	http://www.die-infoseiten.de/xovilichter/	img	
11.3	http://schnurpsel.de/xovilichter/	img	
11.4	http://www.dynapso.de/xovilichter/	img	
11.5	http://www.pilotenausbildung-24.de/xovilichter/	img	
12	http://aus.gerech.net/xovilichter/	txt	Ingo Henze
13	http://www.seokratie.de/xovilichter-teilnehmeranalyse/	txt	Julian Dziki
14	https://www.deutsche-mikroinvest.de/xovilichter	txt	
15	http://www.domfolio.de/xovilichter/	txt	Jens Peterssen
16	http://www.slms.de/xovilichter/	txt	
17	http://www.tobias-fox.de/seo/xovilichter	txt	Tobias Fox
18	http://seocouch.de/xovilichter-seo-contest-bringt-licht-ins-dunkle/	txt	Heiko Stiegert
19	http://www.webspurt.de/xovilichter/	txt	Jan Kuhl
20	http://www.jennifer-kosmetik.de/xovilichter/	txt	
21	http://xtremegn.de/webdesign/xovilichter-challenge/	txt	Tommy Weber
22	http://www.suchmaschinenmonitor.de/xovilichter	txt	Julian Roedig
23	https://twitter.com/hashtag/xovilichter	txt	
24	http://www.seomira.de/xovilichter.html	txt	
25	http://www.webkarat.com/xovilichter/	txt	
26	http://www.quickdict.de/xovilichter/	txt	Jörg Gericke-Krumme
27	http://xtremegn.de/webdesign/xovilichter/	txt	Tommy Weber
28	http://www.wrel.de/xovilichter/	txt	
29	http://www.geschichte-oesterreich.com/xovilichter	txt	Bernhard Angeler
30	https://support.hyperic.com/display/~marty/Xovilichter+Keyword+Challenge+2014	txt	
31	http://www.rjmedia.de/xovilichter/	txt	
32	http://felodeseo.com/xovilichter/	txt	
33	http://xovilichter.myepoints.de/	txt	
34	http://t3n.de/news/seo-wettbewerb-xovilichter-542744/	txt	Lars Budde
35	http://www.onlinemarketing-spezialist.de/xovilichter	txt	
36	http://www.youtube.com/watch?v=TcuKKhG8NOY	vid	Enrico Schuetze
37	http://blog.ska-network.com/seo/xovilichter/xovilichter-seo-keyword-challenge-2014/	txt	Pierre Schramm
38	https://www.facebook.com/xovilichter2014	txt	
39	http://www.seodiddy.com/xovilichter/	txt	
40	http://netgrade.de/xovilichter/	txt	Robert Kolloch
41	http://www.elsalumni.de/	txt	
42	http://www.weihmann.de/blog/xovilichter/	txt	
43	http://www.3fx-media.de/xovilichter/	txt	
44	http://raubal-it.de/xovilichter/	txt	
45	http://www.pilotenausbildung-24.de/xovilichter/	txt	
46	http://www.g2smedia.de/xovilichter/	txt	Stefan Seibel
47	http://www.syntax-media.de/xovilichter/	txt	Carsten Zedler
48	http://cbop.de/xovilichter/	txt	Marcel Köhler
49	http://www.meineseiteaufplatzeins.de/index.php/xovi-startet-seo-contest-zum-keyword-xovilichter/	txt	Boris Alexeev
50	http://www.finanzen.net/nachricht/aktien/DGAP-News-OMSAG-nutzt-Xovilichter-SEO-Contest-als-Ideenplattform-fuer-eigenen-Fortschritt-3578015	txt	
51	http://www.gute-linkpartner.de/xovilichter.html	txt	Andreas Ganter
52	http://xovilichter.complex-berlin.de/	txt	Harald Hildebrandt
53	http://www.die-infoseiten.de/xovilichter/	txt	
54	http://www.cash4webmaster.de/downloads/xovilichter-ebook.pdf	txt	
55	http://www.naden.de/blog/xovilichter	txt	Naden Badalgogtapeh
56	http://o-pr.de/post/ronny-4-xovilichter/	txt	
57	http://www.etvisio.de/xovilichter.html	txt	
58	http://schnurpsel.de/xovilichter/	txt	Ingo Henze
59	http://www.mindflowmedia.de/aktuelles/395-xovilichter-erhellen-die-seo-leuchten	txt	Andreas Horst
60	http://my-websites.de/xovilichter-das-wohl-groesste-seo-gewinnspiel-aller-zeiten/	txt	
61	http://www.motor-talk.de/blogs/xovilichter-challenge-2014	txt	
62	http://www.koelner-lichter.de/parties-locations/koelner-lichter-parties-locations-xovilichter.php	txt	
63	http://xovilichter.de.rs/	txt	
64	http://playboy-seo.blogspot.com/2014/05/xovilichter.html	txt	Agung Purnomo
65	http://www.danigee.de/xovilichter-zwischenbericht-ende-mai/	txt	
66	http://www.onvista.de/news/dgap-news-omsag-nutzt-xovilichter-seo-contest-als-ideenplattform-fuer-eigenen-fortschritt-deutsch-985919	txt	
67	http://www.sumax.de/xovilichter	txt	
68	http://heiko-hoehn.com/2014/05/01/xovilichter/	txt	Heiko Höhn
69	http://www.hildesheimfirma.de/xovilichter.html	txt	
70	http://blog.netformic.de/wp-content/uploads/2014/05/Xovilichter-Checkliste.pdf	txt	
71	http://seoptiker.de/xovilichter/	txt	dawid przybylski
72	http://www.caseconcept.de/xovilichter-suchmaschinensoftware-gewinnspiel/	txt	
73	http://www.dergeldblog.de/2014/05/28/xovilichter-machst-du-auch-mit/	txt	
74	http://www.pinterest.com/xovilichter/	txt	
75	http://webropolis.com/xovilichter/news/4411/	txt	Frank Reymann
76	http://14-tage-dresden.de/dd/xovilichter/	txt	
77	http://www.txjl88.com/2014/05/xovilichter.html	txt	
78	http://www.searchnmerge.com/XOVILICHTER.html	txt	
79	http://rankpress.de/xovilichter-2014/	txt	Michael Boenigk
80	https://www.bibeo.de/xovilichter/	txt	
81	http://blog.plateo.eu/news/dem-geheimnis-der-xovilichter-auf-der-spur/	txt	Blanka Szczebak
82	http://stuttgart-eventagentur.de/xovilichter-party/	txt	Alex Buchanan
83	http://www.seekport.de/web/xovilichter.com	txt	
84	http://www.upon-onlinemarketing.de/xovilichter/	txt	Alex Buchanan
85	http://www.media-affin.de/xovilichter-by-xovi-2014	txt	Dominik Horn
86	https://play.google.com/store/apps/details?id=de.my.websites.xovilichter	txt	
87	http://www.notarztkurs.com/xovilichter	txt	
88	http://www.netznews.eu/xovilichter-seo-wettbewerb-die-halbzeitbilanz/	txt	
89	http://www.boerse-online.de/nachrichten/aktien/DGAP-News--OMSAG-nutzt-Xovilichter-SEO-Contest-als-Ideenplattform-fuer-eigenen-Fortschritt-1000130849	txt	
90	http://xovilichter.open-source-shop-systeme.de/	txt	Harald Hildebrandt
91	http://www.prseo.de/xovilichter.html	txt	
92	http://www.junge-gruender.de/news/xovilichter	txt	Kevin Pflock
93	http://www.webspurt-presse.de/webspurt-schiesst-im-xovilichter-contest-nach-oben/	txt	
94	http://carsten-tauber.de/xovilicht-platz-1/	txt	Carsten Tauber
95	https://www.azionare360.de/de/tag/xovilichter-seo-wettbewerb/	txt	
96	http://rescogitans.de/xovilichter/	txt	
97	http://www.flamedia.de/xovilichter/	txt	
98	https://github.com/xovilichter/dynapso	txt	
99	http://innovativetrendsblog.wordpress.com/2014/05/05/xovilichter/	txt	Oliver Höß
